2019-01-03 11:18:00 +0000 UTC	Figure It Out	Royal Blood	Royal Blood	https://www.last.fm/music/Royal+Blood/_/Figure+It+Out
2019-01-03 11:18:00 +0000 UTC	Sugar	Editors	The Weight of Your Love	https://www.last.fm/music/Editors/_/Sugar
2019-01-03 11:23:00 +0000 UTC	Smokers Outside the Hospital Doors	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/Smokers+Outside+the+Hospital+Doors
2019-01-03 11:27:00 +0000 UTC	An End Has A Start	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/An+End+Has+A+Start
2019-01-03 11:31:00 +0000 UTC	The Weight Of The World	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/The+Weight+Of+The+World
2019-01-03 11:35:00 +0000 UTC	Bones	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/Bones
2019-01-03 11:41:00 +0000 UTC	When Anger Shows	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/When+Anger+Shows
2019-01-03 11:45:00 +0000 UTC	The Racing Rats	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/The+Racing+Rats
2019-01-03 11:51:00 +0000 UTC	Push Your Head Towards The Air	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/Push+Your+Head+Towards+The+Air
2019-01-03 11:56:00 +0000 UTC	Escape The Nest	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/Escape+The+Nest
2019-01-03 12:00:00 +0000 UTC	Spiders	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/Spiders
2019-01-03 12:03:00 +0000 UTC	Well Worn Hand	Editors	An End Has A Start	https://www.last.fm/music/Editors/_/Well+Worn+Hand
2019-01-03 12:08:00 +0000 UTC	Papillon	Editors	In This Light and on This Evening	https://www.last.fm/music/Editors/_/Papillon
2019-01-03 12:12:00 +0000 UTC	Love Will Tear Us Apart	Joy Division	The Best Of	https://www.last.fm/music/Joy+Division/_/Love+Will+Tear+Us+Apart
2019-01-03 12:15:00 +0000 UTC	Bigmouth Strikes Again (2017 Master)	The Smiths	The Queen Is Dead (Deluxe Edition)	https://www.last.fm/music/The+Smiths/_/Bigmouth+Strikes+Again+(2017+Master)
2019-01-03 12:18:00 +0000 UTC	I Only Lie When I Love You	Royal Blood	How Did We Get So Dark?	https://www.last.fm/music/Royal+Blood/_/I+Only+Lie+When+I+Love+You
2019-01-03 12:21:00 +0000 UTC	This Charming Man	The Smiths	The Sound Of The Smiths [Deluxe Edition]	https://www.last.fm/music/The+Smiths/_/This+Charming+Man
2019-01-03 17:38:00 +0000 UTC	Dogs of War	Blues Saraceno	Dark Country 3	https://www.last.fm/music/Blues+Saraceno/_/Dogs+of+War
2019-01-03 17:42:00 +0000 UTC	More Than a Lie	The Clan	The Clan	https://www.last.fm/music/The+Clan/_/More+Than+a+Lie
2019-01-03 17:45:00 +0000 UTC	Irish Sky	The Clan	All In The NAme Of Folk	https://www.last.fm/music/The+Clan/_/Irish+Sky
2019-01-03 17:48:00 +0000 UTC	I’ll Tell Me Ma	The Clan	The Clan	https://www.last.fm/music/The+Clan/_/I%E2%80%99ll+Tell+Me+Ma
2019-01-03 17:52:00 +0000 UTC	More Than a Lie	The Clan	The Clan	https://www.last.fm/music/The+Clan/_/More+Than+a+Lie
2019-01-03 17:55:00 +0000 UTC	Irish Sky	The Clan	All In The NAme Of Folk	https://www.last.fm/music/The+Clan/_/Irish+Sky
2019-01-03 18:00:00 +0000 UTC	Angel of the Sea	The Clan	All In The NAme Of Folk	https://www.last.fm/music/The+Clan/_/Angel+of+the+Sea
